"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Jonathan Cannon","CWS","SP,RP","96.1","72","4","0","4.90","1.40","52","101","34","15","33","13","6","0","0%"
"Sam Hentges","SF","RP","32.6","32","2","0","3.59","1.27","13","30","11","3","33","0","1","0","0%"
"Anthony Banda","MIN","RP","56.3","55","3","1","4.33","1.37","27","52","25","7","56","0","3","0","0%"
"Joel Payamps","ATL","RP","52.0","48","3","0","4.10","1.27","24","50","16","7","53","0","2","0","0%"
"Drew Smith","MIN","RP","34.6","35","2","0","4.49","1.35","17","32","15","5","35","0","2","0","0%"
"Dietrich Enns","BAL","SP,RP","60.9","56","3","0","4.21","1.33","28","61","21","8","50","1","3","0","0%"
"Rob Zastryzny","MIL","RP","44.2","41","2","0","4.19","1.31","21","42","16","6","46","0","2","0","0%"
"Bradgley Rodriguez","SD","RP","44.5","41","3","0","4.18","1.39","21","41","21","5","43","0","2","0","1%"
"Adbert Alzolay","NYM","RP","41.3","40","2","0","4.16","1.25","19","38","14","6","40","0","2","0","8%"
"Mike Vasil","CWS","SP,RP","40.4","30","2","0","4.57","1.44","21","40","18","5","25","1","2","0","0%"
"Will Klein","LAD","RP","51.7","57","3","0","4.33","1.45","25","45","30","6","50","0","3","0","0%"
"Matt Gage","SF","RP","52.6","45","2","0","4.01","1.35","23","52","19","5","51","0","2","0","1%"
"Huascar Brazoban","NYM","SP,RP","52.5","50","3","0","4.08","1.34","24","47","23","6","49","0","3","0","1%"
"Brandon Eisert","CWS","SP,RP","47.1","46","2","0","4.23","1.31","22","45","17","6","47","0","3","0","0%"
"Evan Phillips","LAD","RP","24.8","26","2","0","3.48","1.16","10","21","8","3","26","0","1","0","0%"
"Brock Stewart","LAD","RP","33.2","38","2","0","3.97","1.26","15","28","14","4","34","0","1","0","0%"
"Felix Bautista","BAL","RP","10.7","14","1","0","3.24","1.18","4","8","5","1","11","0","1","0","1%"
"Andre Granillo","WSH","RP","42.0","41","2","0","4.34","1.35","20","38","19","6","39","0","2","0","0%"
"Grant Anderson","MIL","RP","57.3","58","3","0","4.17","1.31","27","52","23","8","56","0","3","0","0%"
"Trey Gibson","BAL","SP","11.8","11","0","0","4.23","1.36","6","11","5","1","3","3","1","0","0%"
"Brody Hopkins","TB","SP","8.5","8","0","0","4.53","1.47","4","8","4","1","2","2","1","0","1%"
"Keaton Winn","SF","SP,RP","47.9","42","3","0","4.15","1.30","22","47","15","6","34","2","2","0","5%"
"Spencer Bivens","SF","RP","68.7","52","3","0","4.18","1.34","32","70","22","8","61","0","4","0","0%"
"Jake Bird","NYY","RP","54.6","57","3","0","3.94","1.30","24","48","23","6","52","0","3","0","0%"
"Austin Warren","NYM","RP","40.9","37","3","0","4.31","1.31","20","38","15","5","38","0","2","0","0%"
"Carson Whisenhunt","SF","SP","43.6","34","2","0","4.43","1.38","21","44","16","6","15","7","3","0","0%"
"Hayden Harris","ATL","RP","40.3","45","2","0","3.95","1.30","18","35","18","5","40","0","2","0","0%"
"Jarlin Susana","WSH","SP","9.0","12","1","0","4.48","1.55","5","7","7","1","2","2","1","0","1%"
"Gavin Stone","LAD","SP","27.7","23","2","0","4.32","1.31","13","27","9","4","12","3","1","0","0%"
"Josh Sborz","TEX","RP","47.9","49","2","0","4.14","1.32","22","44","20","6","47","0","3","0","0%"
"Justin Martinez","ARI","RP","20.8","25","1","1","3.28","1.29","8","16","11","1","20","0","1","0","1%"
"Jon Gray","","RP","45.2","40","2","0","4.53","1.33","23","45","15","7","10","8","3","0","0%"
"Caleb Ferguson","CIN","RP","51.8","49","3","0","4.09","1.32","24","49","20","5","54","0","3","0","0%"
"Cooper Criswell","SEA","RP","60.5","50","3","0","4.08","1.30","27","59","19","7","41","3","3","0","0%"
"Caden Dana","LAA","SP","76.8","66","4","0","5.03","1.44","43","76","34","13","14","15","6","0","0%"
"Craig Yoho","MIL","RP","34.2","37","2","0","3.85","1.31","15","29","16","4","34","0","2","0","0%"
"Casey Legumina","TB","RP","48.0","47","3","0","4.16","1.31","22","44","19","6","47","0","3","0","0%"
"Lake Bachar","MIA","RP","51.4","52","3","0","4.31","1.34","25","47","22","7","49","0","3","0","0%"
"Edgardo Henriquez","LAD","RP","42.6","46","2","0","4.22","1.36","20","38","20","5","43","0","2","0","0%"
"Kade Strowd","ARI","RP","35.9","34","2","0","4.14","1.40","17","34","16","4","36","0","2","0","0%"
"Kai-Wei Teng","HOU","SP,RP","49.0","49","3","0","4.34","1.36","24","45","22","6","35","3","3","0","3%"
"Brenan Hanifee","DET","RP","58.4","43","3","0","3.94","1.30","26","59","17","6","55","0","3","0","0%"
"Dauri Moreta","","RP","27.8","34","2","0","3.87","1.23","12","21","13","3","28","0","1","0","0%"
"Blade Tidwell","SF","SP,RP","31.9","28","2","0","4.47","1.39","16","31","13","4","16","3","2","0","0%"
