player_id,player_name,eligible_positions,adp,points
Cade_Horton_P,Cade Horton_P,SP,186.0,537.18
Munetaka_Murakami_H,Munetaka Murakami_H,1B;3B,187.0,674.6
Konnor_Griffin_H,Konnor Griffin_H,SS;OF,188.4,451.1
Jack_Flaherty_P,Jack Flaherty_P,SP,189.4,720.42
Edward_Cabrera_P,Edward Cabrera_P,SP,189.6,650.82
Sal_Stewart_H,Sal Stewart_H,1B;2B;3B,190.0,580.3
Dennis_Santana_P,Dennis Santana_P,RP,190.8,421.52
Carlos_Rodon_P,Carlos Rodon_P,SP,191.2,651.82
Daulton_Varsho_H,Daulton Varsho_H,OF,193.6,582.1
Abner_Uribe_P,Abner Uribe_P,RP,195.0,471.78
Christian_Walker_H,Christian Walker_H,1B,195.2,606.2
Isaac_Paredes_H,Isaac Paredes_H,1B;3B,196.8,574.1
Ryan_Walker_P,Ryan Walker_P,RP,196.8,455.48
Matthew_Boyd_P,Matthew Boyd_P,SP,197.2,710.9
Andrew_Abbott_P,Andrew Abbott_P,SP,198.0,656.26
Daylen_Lile_H,Daylen Lile_H,OF;Util,198.4,600.2
Jorge_Polanco_H,Jorge Polanco_H,2B;3B;Util,201.0,588.6
Shane_Baz_P,Shane Baz_P,SP,201.6,641.6
Jose_Caballero_H,Jose Caballero_H,2B;3B;SS;OF,202.4,340.6
Addison_Barger_H,Addison Barger_H,3B;OF,203.4,552.3
Marcus_Semien_H,Marcus Semien_H,2B,203.8,615.3
Zac_Gallen_P,Zac Gallen_P,SP,203.8,762.76
Gerrit_Cole_P,Gerrit Cole_P,SP,204.0,562.52
Robert_Suarez_P,Robert Suarez_P,RP,205.4,373.62
Shane_McClanahan_P,Shane McClanahan_P,SP,205.4,611.12
Aaron_Nola_P,Aaron Nola_P,SP,206.6,724.24
Sal_Frelick_H,Sal Frelick_H,OF,206.6,542.8
Gleyber_Torres_H,Gleyber Torres_H,2B,207.2,726.1
Jonathan_Aranda_H,Jonathan Aranda_H,1B,208.2,665.6
Wilyer_Abreu_H,Wilyer Abreu_H,OF,210.6,597.4
Heliot_Ramos_H,Heliot Ramos_H,OF,211.4,664.4
Brenton_Doyle_H,Brenton Doyle_H,OF,211.6,596.2
Gabriel_Moreno_H,Gabriel Moreno_H,C,215.8,505.3
Ezequiel_Tovar_H,Ezequiel Tovar_H,SS,218.0,688.8
Adolis_Garcia_H,Adolis Garcia_H,OF,218.6,602.9
JJ_Wetherholt_H,JJ Wetherholt_H,2B;3B;SS,222.2,522.3
Royce_Lewis_H,Royce Lewis_H,3B,222.4,549.0
Brendan_Donovan_H,Brendan Donovan_H,2B;3B;SS;OF,223.6,607.9
Griffin_Jax_P,Griffin Jax_P,SP;RP,223.8,466.54
Ramon_Laureano_H,Ramon Laureano_H,OF,225.6,567.7
Jordan_Westburg_H,Jordan Westburg_H,2B;3B,227.4,482.7
Samuel_Basallo_H,Samuel Basallo_H,C;Util,229.0,480.3
Alec_Bohm_H,Alec Bohm_H,1B;3B,229.6,617.8
Caleb_Durbin_H,Caleb Durbin_H,2B;3B,230.0,530.4
Carter_Jensen_H,Carter Jensen_H,C;Util,230.0,432.6
Merrill_Kelly_P,Merrill Kelly_P,SP,230.2,678.28
Kerry_Carpenter_H,Kerry Carpenter_H,OF;Util,231.4,571.4
Max_Muncy_H,Max Muncy_H,3B,232.0,525.1
Trent_Grisham_H,Trent Grisham_H,OF,232.4,598.5
Luis_Arraez_H,Luis Arraez_H,1B;2B;Util,232.6,649.1
J_T_Realmuto_H,J.T. Realmuto_H,C,233.2,492.2
Bryan_Abreu_P,Bryan Abreu_P,RP,236.4,422.5
Giancarlo_Stanton_H,Giancarlo Stanton_H,OF;Util,237.4,479.5
Carlos_Correa_H,Carlos Correa_H,3B;SS,238.0,611.3
Mickey_Moniak_H,Mickey Moniak_H,OF;Util,238.3,569.9
Austin_Wells_H,Austin Wells_H,C,238.4,446.8
TJ_Friedl_H,TJ Friedl_H,OF,239.6,599.4
Joe_Musgrove_P,Joe Musgrove_P,SP,241.6,624.46
Ryne_Nelson_P,Ryne Nelson_P,SP;RP,244.8,626.18
