player_id,player_name,eligible_positions,adp,points
Luke_Keaschall_H,Luke Keaschall_H,2B,112.6,344.5
Tyler_Glasnow_P,Tyler Glasnow_P,SP,112.8,451.0
Raisel_Iglesias_P,Raisel Iglesias_P,RP,113.8,351.1
Chase_Burns_P,Chase Burns_P,SP;RP,114.2,406.4
Trevor_Story_H,Trevor Story_H,SS,114.8,349.0
Kyle_Stowers_H,Kyle Stowers_H,OF,117.6,323.5
Taylor_Ward_H,Taylor Ward_H,OF,117.8,400.0
Luis_Robert_Jr_H,Luis Robert Jr._H,OF,119.2,322.5
Josh_Hader_P,Josh Hader_P,RP,121.0,346.3
Jo_Adell_H,Jo Adell_H,OF,121.4,362.5
Cam_Schlittler_P,Cam Schlittler_P,SP,123.0,398.1
Blake_Snell_P,Blake Snell_P,SP,125.0,472.9
Nick_Lodolo_P,Nick Lodolo_P,SP,125.6,476.2
Matt_Chapman_H,Matt Chapman_H,3B,126.0,391.0
Brandon_Woodruff_P,Brandon Woodruff_P,SP,126.2,478.8
Yandy_Diaz_H,Yandy Diaz_H,1B;Util,126.2,414.0
Zack_Wheeler_P,Zack Wheeler_P,SP,127.8,501.6
Ozzie_Albies_H,Ozzie Albies_H,2B,128.0,372.5
Brandon_Nimmo_H,Brandon Nimmo_H,OF,129.6,381.5
Carlos_Estevez_P,Carlos Estevez_P,RP,130.2,329.1
Nathan_Eovaldi_P,Nathan Eovaldi_P,SP,130.4,528.2
Ryan_Pepiot_P,Ryan Pepiot_P,SP,133.0,523.8
Michael_King_P,Michael King_P,SP,134.4,511.0
Emmet_Sheehan_P,Emmet Sheehan_P,SP,135.8,457.7
Jeff_Hoffman_P,Jeff Hoffman_P,RP,137.0,348.1
Lawrence_Butler_H,Lawrence Butler_H,OF,138.8,353.0
Emilio_Pagan_P,Emilio Pagan_P,RP,139.0,344.9
Jakob_Marsee_H,Jakob Marsee_H,OF,139.6,348.5
Andy_Pages_H,Andy Pages_H,OF,140.0,368.5
Daniel_Palencia_P,Daniel Palencia_P,RP,141.0,367.4
Luis_Castillo_P,Luis Castillo_P,SP,141.0,556.7
Ryan_Helsley_P,Ryan Helsley_P,RP,143.4,350.7
Yainer_Diaz_H,Yainer Diaz_H,C;Util,144.4,320.5
Gavin_Williams_P,Gavin Williams_P,SP,145.0,526.0
Noelvi_Marte_H,Noelvi Marte_H,3B;OF,145.0,298.5
MacKenzie_Gore_P,MacKenzie Gore_P,SP,145.2,532.9
Sandy_Alcantara_P,Sandy Alcantara_P,SP,145.8,519.4
Ian_Happ_H,Ian Happ_H,OF,146.8,402.0
Steven_Kwan_H,Steven Kwan_H,OF,147.2,399.0
Trevor_Rogers_P,Trevor Rogers_P,SP,147.2,445.0
Hunter_Greene_P,Hunter Greene_P,SP,150.6,272.8
Bubba_Chandler_P,Bubba Chandler_P,SP,150.8,432.5
Adley_Rutschman_H,Adley Rutschman_H,C,151.0,352.5
Pete_Fairbanks_P,Pete Fairbanks_P,RP,152.8,329.3
Ceddanne_Rafaela_H,Ceddanne Rafaela_H,2B;OF,153.0,345.5
Brandon_Lowe_H,Brandon Lowe_H,2B,153.4,325.0
Robbie_Ray_P,Robbie Ray_P,SP,155.0,530.7
Trevor_Megill_P,Trevor Megill_P,RP,157.0,300.2
Xavier_Edwards_H,Xavier Edwards_H,2B;SS,158.0,340.0
